couponDates,couponAmounts,faceAmounts,currency,name,isin,issueDate,cfactor,risk
08/15/2006,22.5,0,USD,CTD_USU7,US912810FT08,02/15/2006,0.8349,US
02/15/2007,22.5,0,,,,,,
08/15/2007,22.5,0,,,,,,
02/15/2008,22.5,0,,,,,,
08/15/2008,22.5,0,,,,,,
02/15/2009,22.5,0,,,,,,
08/15/2009,22.5,0,,,,,,
02/15/2010,22.5,0,,,,,,
08/15/2010,22.5,0,,,,,,
02/15/2011,22.5,0,,,,,,
08/15/2011,22.5,0,,,,,,
02/15/2012,22.5,0,,,,,,
08/15/2012,22.5,0,,,,,,
02/15/2013,22.5,0,,,,,,
08/15/2013,22.5,0,,,,,,
02/15/2014,22.5,0,,,,,,
08/15/2014,22.5,0,,,,,,
02/15/2015,22.5,0,,,,,,
08/15/2015,22.5,0,,,,,,
02/15/2016,22.5,0,,,,,,
08/15/2016,22.5,0,,,,,,
02/15/2017,22.5,0,,,,,,
08/15/2017,22.5,0,,,,,,
02/15/2018,22.5,0,,,,,,
08/15/2018,22.5,0,,,,,,
02/15/2019,22.5,0,,,,,,
08/15/2019,22.5,0,,,,,,
02/15/2020,22.5,0,,,,,,
08/15/2020,22.5,0,,,,,,
02/15/2021,22.5,0,,,,,,
08/15/2021,22.5,0,,,,,,
02/15/2022,22.5,0,,,,,,
08/15/2022,22.5,0,,,,,,
02/15/2023,22.5,0,,,,,,
08/15/2023,22.5,0,,,,,,
02/15/2024,22.5,0,,,,,,
08/15/2024,22.5,0,,,,,,
02/15/2025,22.5,0,,,,,,
08/15/2025,22.5,0,,,,,,
02/15/2026,22.5,0,,,,,,
08/15/2026,22.5,0,,,,,,
02/15/2027,22.5,0,,,,,,
08/15/2027,22.5,0,,,,,,
02/15/2028,22.5,0,,,,,,
08/15/2028,22.5,0,,,,,,
02/15/2029,22.5,0,,,,,,
08/15/2029,22.5,0,,,,,,
02/15/2030,22.5,0,,,,,,
08/15/2030,22.5,0,,,,,,
02/15/2031,22.5,0,,,,,,
08/15/2031,22.5,0,,,,,,
02/15/2032,22.5,0,,,,,,
08/15/2032,22.5,0,,,,,,
02/15/2033,22.5,0,,,,,,
08/15/2033,22.5,0,,,,,,
02/15/2034,22.5,0,,,,,,
08/15/2034,22.5,0,,,,,,
02/15/2035,22.5,0,,,,,,
08/15/2035,22.5,0,,,,,,
02/15/2036,22.5,1000,,,,,,
